year,artist,title
2000,SANTANA featuring ROB THOMAS,Smooth
2000,BRIAN McKNIGHT,Back At One
2000,JESSICA SIMPSON,I Wanna Love You Forever
2000,WHITNEY HOUSTON,My Love Is Your Love
2000,SAVAGE GARDEN,I Knew I Loved You
2000,MARC ANTHONY,I Need To Know
2000,"MISSY ""MISDEMEANOR"" ELLIOTT & NAS & EVE",Hot Boyz
2000,DONELL JONES,U Know What's Up
2000,BLAQUE,Bring It All To Me
2000,LFO,Girl On TV
2000,CHRISTINA AGUILERA,What A Girl Wants
2000,KEVON EDMONDS,24/7
2000,EIFFEL 65,Blue (Da Ba Dee)
2000,SMASH MOUTH,Then The Morning Comes
2000,JAGGED EDGE,He Can't Love U
2000,JENNIFER LOPEZ,Waiting For Tonight
2000,CELINE DION,That's The Way It Is
2000,CHRISTINA AGUILERA,The Christmas Song (Chestnuts Roasting On An Open Fire)
2000,GUY,Dancin'
2000,LEN,Steal My Sunshine
2000,MONTELL JORDAN,Get It On Tonite
2000,FOO FIGHTERS,Learn To Fly
2000,LeANN RIMES,Big Deal
2000,TRAIN,Meet Virginia
2000,TLC,Unpretty
2000,FAITH HILL,Breathe
2000,JUVENILE feat. MANNY FRESH & LIL' WAYNE,Back That Thang Up
2000,SOLE featuring JT MONEY & KANDI,"4, 5, 6"
2000,IMX,Stay The Night
2000,M2M,Don't Say You Love Me
2000,702,Where My Girls At?
2000,LOU BEGA,Mambo No. 5 (A Little Bit Of ...)
2000,COUNTING CROWS,Hangingaround
2000,FILTER,Take A Picture
2000,IDEAL,Get Gone
2000,SUGAR RAY,Someday
2000,BRAD PAISLEY,He Didn't Have To Be
2000,OL' DIRTY BASTARD featuring KELIS,Got Your Money
2000,RICKY MARTIN,Shake Your Bon-Bon
2000,MINT CONDITION,If You Love Me
2000,GOO GOO DOLLS,Black Balloon
2000,ENRIQUE IGLESIAS,Rhythm Divine
2000,MARIAH CAREY featuring JOE & 98 DEGREES,Thank God I Found You
2000,PUFF DADDY featuring R KELLY,Satisfy You
2000,LONESTAR,Amazed
2000,REBA,What Do You Say
2000,ICE CUBE featuring MACK 10 & MS. TOI,You Can Do It
2000,DIXIE CHICKS,Cowboy Take Me Away
2000,CLINT BLACK,When I Said I Do
2000,TIM McGRAW,My Best Friend
2000,SISQO featuring MAKE IT HOT,Got To Get It
2000,BLINK 182,All The Small Things
2000,98 DEGREES,This Gift
2000,KENNY G,Auld Lang Syne
2000,ROBBIE WILLIAMS,Angels
2000,DESTINY'S CHILD,Say My Name
2000,ALAN JACKSON,Pop A Top
2000,KELIS,Caught Out There
2000,MARC NELSON,15 Minutes
2000,MARIAH CAREY featuring JAY-Z,Heartbreaker
2000,CREED,Higher
2000,"B.G. feat BABY, TURK, MANNIE FRESH & JUVENILE",Bling Bling
2000,WILL SMITH featuring K-CI,Will 2K
2000,MARY J. BLIGE,Deep Inside
2000,YANKEE GREY,All Things Considered
2000,MARTINA McBRIDE,I Love You
2000,AMBER,Sexual (Li Da Di)
2000,GINUWINE,None Of Ur Friends Business
2000,SHEDAISY,Deck The Halls
2000,DR. DRE & SNOOP DOGG,Still D.R.E.
2000,LONESTAR,Smile
2000,R.E.M.,The Great Beyond
2000,DESTINY'S CHILD,Bug A Boo
2000,BACKSTREET BOYS,Show Me The Meaning Of Being Lonely
2000,DEBORAH COX with R.L.,We Can't Be Friends
2000,BRITNEY SPEARS,(You Drive Me) Crazy
